,timestamp,pos_x,pos_y,pos_z,l_status,l_active,l_available,l_calibrated,sys_canfly,sys_isflying,pm_battery,pm_state
617,518620.0,0.7765747308731079,0.6485949754714966,-0.10564878582954407,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
618,518631.0,0.7765924334526062,0.6484364867210388,-0.10583405941724777,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
619,518640.0,0.7765722274780273,0.6486616730690002,-0.10556533187627792,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
620,518652.0,0.7765905261039734,0.6485027074813843,-0.10575099289417267,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
621,518660.0,0.7765517234802246,0.6486003398895264,-0.10565029084682465,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
622,518672.0,0.7765713930130005,0.6484435200691223,-0.10583512485027313,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
623,518680.0,0.7765853404998779,0.6485573053359985,-0.1056428775191307,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
624,518692.0,0.7766085267066956,0.6484026312828064,-0.10582505911588669,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
625,518700.0,0.776606559753418,0.6485211253166199,-0.10566680878400803,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
626,518711.0,0.776636004447937,0.6483524441719055,-0.10586730390787125,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
627,518720.0,0.7766642570495605,0.6484909653663635,-0.10571185499429703,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
628,518732.0,0.7766427993774414,0.6487176418304443,-0.10543737560510635,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
629,518740.0,0.7766705751419067,0.648567259311676,-0.10562538355588913,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
630,518751.0,0.7767000794410706,0.64841628074646,-0.10581550747156143,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
631,518760.0,0.7766739726066589,0.6484889984130859,-0.10568968206644058,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
632,518772.0,0.7766333818435669,0.6486814618110657,-0.10547848045825958,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
633,518780.0,0.7766590118408203,0.648532509803772,-0.10566458106040955,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
634,518791.0,0.776688277721405,0.6483819484710693,-0.10585230588912964,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
635,518800.0,0.7766522169113159,0.6484500169754028,-0.10576269030570984,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
636,518811.0,0.7766793966293335,0.6482999324798584,-0.10595197975635529,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
637,518820.0,0.7766373753547668,0.6484880447387695,-0.10574384778738022,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
638,518832.0,0.7766628861427307,0.6483411192893982,-0.10593367367982864,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
639,518840.0,0.7766175270080566,0.6485588550567627,-0.10570964962244034,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
640,518852.0,0.7766406536102295,0.6484128832817078,-0.10590042918920517,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
641,518860.0,0.776623010635376,0.6485271453857422,-0.10573570430278778,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
642,518872.0,0.7766479849815369,0.6483800411224365,-0.10592805594205856,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
643,518880.0,0.7766429781913757,0.6484900116920471,-0.1057734340429306,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
644,518892.0,0.7766702175140381,0.6483418345451355,-0.10596749186515808,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
645,518900.0,0.776667058467865,0.6484745144844055,-0.10577451437711716,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
646,518912.0,0.7766966819763184,0.6483264565467834,-0.10596827417612076,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
647,518920.0,0.7766843438148499,0.6484619379043579,-0.10576947033405304,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
648,518932.0,0.7767137885093689,0.6483158469200134,-0.10596317052841187,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
649,518940.0,0.7766866683959961,0.6484923958778381,-0.10574197769165039,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
650,518952.0,0.0,0.0,0.0,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
651,518960.0,0.7716054916381836,0.5231438875198364,-0.2910201847553253,2.0,2.0,15.0,3.0,1.0,0.0,90.0,0.0
652,518972.0,0.7716014981269836,0.5231280326843262,-0.2910205125808716,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
653,518980.0,0.7656973600387573,0.515949010848999,-0.29635968804359436,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
654,518992.0,0.7656400799751282,0.5159077644348145,-0.2963549792766571,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
655,519000.0,0.7635819911956787,0.5140827298164368,-0.2973906993865967,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
656,519012.0,0.7634655833244324,0.5140135884284973,-0.29737675189971924,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
657,519020.0,0.7623171210289001,0.5134119987487793,-0.29745152592658997,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
658,519032.0,0.7615956664085388,0.5132096409797668,-0.29722192883491516,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
659,519040.0,0.7613462209701538,0.5130845308303833,-0.2971910834312439,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
660,519051.0,0.7611135840415955,0.5129587650299072,-0.2971642315387726,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
661,519060.0,0.7605964541435242,0.512939989566803,-0.2967897057533264,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
662,519071.0,0.7603233456611633,0.5127850770950317,-0.2967591881752014,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
663,519080.0,0.7600246071815491,0.5128422379493713,-0.29637080430984497,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
664,519091.0,0.7597345113754272,0.5126601457595825,-0.29633989930152893,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
665,519100.0,0.7596396207809448,0.5127547979354858,-0.2959895133972168,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
666,519112.0,0.7596809267997742,0.5128977298736572,-0.2956996560096741,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
667,519120.0,0.7594261169433594,0.5126925110816956,-0.2956819236278534,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
668,519130.0,0.7591677308082581,0.5124757885932922,-0.2956656813621521,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
669,519140.0,0.7589062452316284,0.5122486352920532,-0.29565152525901794,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
670,519150.0,0.7586405277252197,0.5120108127593994,-0.2956385016441345,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
671,519160.0,0.7583701014518738,0.5117620229721069,-0.295625776052475,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
672,519170.0,0.758095383644104,0.5115036368370056,-0.2956137955188751,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
673,519180.0,0.7578172087669373,0.5112360119819641,-0.2956039607524872,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
674,519190.0,0.7575364112854004,0.5109583139419556,-0.2955961227416992,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
675,519200.0,0.7572530508041382,0.5106713175773621,-0.29558804631233215,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
676,519210.0,0.7569662928581238,0.5103752017021179,-0.2955794036388397,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
677,519220.0,0.7566759586334229,0.5100691318511963,-0.2955705523490906,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
678,519230.0,0.756380558013916,0.5097523331642151,-0.2955613136291504,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
679,519240.0,0.7560796141624451,0.5094240307807922,-0.29555168747901917,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
680,519250.0,0.7557746767997742,0.509084165096283,-0.2955426871776581,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
681,519260.0,0.7554664611816406,0.508733332157135,-0.295535683631897,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
682,519270.0,0.7551547884941101,0.5083711743354797,-0.29553040862083435,2.0,2.0,15.0,3.0,1.0,0.0,80.0,0.0
